105650-23-5	CYP1A2;ABCG2;CYP1A1;CTNNB1;HRAS;SULT1A1;HPRT1;PRL;CYP1B1;APC;MAPK1;MAPK3;MYC;ESR1;ABCC2;CCND1;INS;NOX1;TNF;APRT;UGT1A1;STAT5A;CDKN1A;SLC22A8;PTGS2
1057-07-4	AR;FOXP1;FOXP2
105748-59-2	BAX;BCL2;BCL2L1;CASP3;CASP7;PARP1
105816-04-4	ABCC4;CYP2C9;CYP3A4;INS;SLCO1B1;SLCO1B3;SLCO2B1
105827-78-9	CHRNB2;TH;CAT;CHRNA4;GSR;NACHRA1;CYP6G1
105863-96-5	GSR
10588-01-9	CAT;BCL2;TP53;TRP53;FBP1;CASP9;CYP1A1;NQO1;PARP1;BCL2L1;CASP3;MYC;FOS;CCL24;CDKN1A;DNASE1;IL6;AKT1;ATF3;PCNA;SOD2;ANXA2;EGR1;TNF;CCT7
10593-85-8	CASP3;CXCL8;PON1
10595-95-6	CYP2E1
105956-97-6	TOP2A
10596-23-3	PTEN;PON1;CASP3;TNF;IL6;HIF1A;XBP1;GPT;HMOX1;IL1B;PIR;SORL1;COL1A1;EIF1;GCLM;MUC2;ASTN2;SECTM1;YTHDC2;SHANK3;UNKL;GSR;PPP1R15A;AXL;PDLIM1
10597-60-1	TNF;VCAM1;XDH;EGR1;CASP3;JUN;CAT;BCL2;FGF1;IL6
105979-17-7	NR1H4;AGT;CYP3A4
10599-90-3	RB1;XDH
106-22-9	ABCB1;FBP1;G6PC;G6PD;HSTRPA;HTR3A;INS1;NFKBIA;NOS2;OLFR43;OR1A1;OR1A2;PPARA;PPARG;PTGS2;TRPV1;UGT2B15
106-23-0	ABCB1;ALAD;CYP2B1;CYP2B4;GCG;GNA15;GNAL;GNAS;HSTRPA;MAOA;OBP83A;OLFR43;OLFR49;OLFR63;OR1A1;OR1A2;ORCO;TDP1;TRPA1
106-37-6	CAT
106-40-1	NAT1;NAT2
106-42-3	CASP3;CAT;CHRNA10;CHRNA9;CYP1A1;CYP2A6;CYP2B1;CYP2B2;CYP2E1;GRIA1;GRIA2
106-44-5	PRKCA;CTNND1;IL1B;TNF;CDH2;ICAM1;MTOR;VCAM1
106-46-7	CYP2E1
106-47-8	HSP70L;MPO;NAT1;NAT2;PRDX1;SLC16A9A;TP53;TXN
106-48-9	ALB;HSPB11;SCN4A
106-49-0	MPO;REEP6;ACBD3;PDCD4;C8G;GCLM;TAF12;NIPSNAP3B;CELA1;CAPN1;SDC2;GSTP1;ASAH1;CYSTM1;ACAD11;HDAC3;GOT2;MIA2;RDX;DCTN1;B2M;NCK2;CYP4F5;GAL;LRRFIP1
106-50-3	CXCL8;HMOX1;CD86;PRDM1;NLRP12;NQO1
106-51-4	TOP2A;ALB;HIF1A;NFE2L2;AKR1C14;IFNG;MYB;PRKN;CASP3;NQO1;PINK1;CAT;PKM;CYP1A1;PTPN2;HMOX1
106-60-5	CASP9;CASP3;FADD;ALAD;MMP1;MMP3
106-65-0	DIO2
106-91-2	HPRT1
106-93-4	GSTT1;MGMT;GGT1;CYP2E1
106-94-5	RELA;NFKB1;BDNF;NFE2L2;PTGS2;IL1B;NOS2;NFKBIA
106-99-0	EPHX1;HPRT1;CYP2E1;DNMT1;TXNRD1;ABCB11;DNMT3A;XRCC1;CDKN1A;GSTT1;HMOX1;GSTM1;CREB3L1;EDN1;ART2A;AEN;KLHL14;SEMA4D;BANK1;TRP53;NR4A2;MIR331;SELL;LTBP4;HDAC7
10605-21-7	CYP1A1;IL1B
106060-89-3	DTYMK
106105-17-3	SLC12A4;SLC12A7
106128-84-1	OXT
106128-89-6	TACR1;TACR3
106133-20-4	ABCB4;ADRA1A;ADRA1B;ADRA1D
1062-98-2	NUDT10;NUDT11
106243-16-7	HRH2;HRH3;HRH4;IL16;NTF3;SLC22A3
106266-06-2	PRL;CYP2D6;DRD2;ABCB1;HTR7;HTR2A;ABCB1A;SREBF1;PPARG;SOD1;HTR2C;CEBPA;CYP3A4
1063-77-0	EPHX2
106328-57-8	ALK;ALOX12;ALOX15;ALOX5;CASP3
106344-20-1	HMOX1;LEP;CYP1A1;HMOX2
106392-12-5	ADIPOQ;ALB;CASP3;CAT;CKM;HMOX1;LEP;MB;PNLIP;PTGS2
106463-72-3	AHR
1066-17-7	AKT1;BAX;BCL2;BECN1;CASP3;CAT;IL6;MAP1LC3B;MRGPRB2;MRGPRX2;OGA;PARP1;SQSTM1;TNF;TP53
1066-45-1	IL6;HSD11B1;BCL2;XIAP;RELA;NEFH;NOS2
106650-56-0	ADIPOQ;BAX;BCL2;CASP3;CYP2B6;CYP2C19;CYP2D6;CYP3A4;DDIT3;NOS3;PSMB5;PSMB8
106791-40-6	BCHE;CHRNA3;CHRNA4;CHRNA7;CHRNB2;CHRNB4;HTR3A
1068-84-4	FMR1
106803-33-2	RHOA;RHOB
106868-44-4	FOS
1069-87-0	SHC1;TRPC6
106941-25-7	ABCB4;ABCC4;B2M;CALB1;CYP2C9;HAVCR1;LCN2;MMUT;SLC22A6;SLC22A8;SPP1
106956-32-5	BRD4;SOCS3;STAT3
107-02-8	NFE2L2;CASP3;MUC5AC;MMP9;HMOX1;ALB;IL1B;FASLG;CASP9;TRPA1;CXCL8;BAX;TNF;MAPK1;MAPK3;CASP8;BCL2;RELA;TP53;DDIT3;NLRP3;MMP14;HSPA5;CASP7;IL6
107-03-9	GLRA1;LTA4H
107-05-1	BAX;BCL2;CASP3;CAT;CYCS
107-06-2	AQP4;CYP2E1;JUN;MMP9;CASP3;OCLN;FOS;GK;TJP1;NFKBIA;RELA;HMOX1;GSR;MIR451A;ACHE;PYGL;CAT;BCL2;NFE2L2;G6PC;CREM;MMP2;SUMO1;CENPQ;TMEM42
107-07-3	CYP2E1;NFE2L2;GCLC;HMOX1;SP1;IL10;MAPK1;MAPK3;NOS2;AKT1;IL1B;MTOR
107-09-5	HAVCR1;KRT14;NFAT5;NPR1;NPR2;NPR3;REN;SRXN1
107-11-9	SPP1;AOC3;TPM1
107-13-1	LPO;MAPK1;CYP2E1;MAPK3;CDKN1A;CCND1;CCL2;TNF;APEX2;CCND2;XRCC6;IL1B;CAT;BAX
107-14-2	CASP3
107-18-6	GPT;PRKCD;TGFB1
107-19-7	CYP2E1
107-20-0	ALB;SLC34A1;CASP3;NFE2L2;XBP1;GAPDH;PIR;SORL1;EIF1;GCLM;CYP1A1;KRT15;ENTPD7;ASTN2;SECTM1;TALDO1;YTHDC2;SHANK3;GSR;PPP1R15A;BMF;AXL;PDLIM1;MDM2;SESN1
107-21-1	IL6;CCL2;SPP1;TF;TNF;CCL5;NFKB1;UMOD;CAT;VNN1
107-22-2	CXCL8;ABCA1
107-27-7	ALB;CD86;CXCL8;GSTM1;LYZ;MT1;TNF
107-29-9	ACHE
107-35-7	CASP3;CAT;BCL2;TNF;IL1B;GSR;BAX;MAPK8;HMOX1;NR1H4;DUSP1;RELA;SIRT1;SQSTM1;MAPK1;CASP9;BCL2L1;MAPK9;TGFB1
107-36-8	SLCO1A1;SLCO1A4
107-43-7	CAT
107-44-8	ACHE;BCHE;PON1;GFAP;PDHB;CHRM2;YWHAB;IL1B;BAX;PEPD;PNMA1;CUL4B;SNCA;AK1;ALB;SCD;SEPTIN5;PLA2G5;CKLF;AKAP9;PARK7;DYNLL1;NME1;KCNJ8;GABARAP
107-49-3	ACHE
107-66-4	TP53
107-73-3	CRP;DEK;FASN;MMP1;TIMP1;TNF
107-75-5	CCR7;CD80;CXCL8;HMOX1;MAFF;MT1A;MT2A;TLR2;TNF;TXN
107-88-0	CYP2E1
